blind_id,call_yes_no_uncertain,confidence_low_med_high,false_positive_risk_note
SBP1_001,no,med,"No clean same-line lozenge plus two-stroke adjacency visible; right edge damage raises risk"
SBP1_002,no,high,"Lozenge is visible but adjacent sign is not a clear two-stroke packet"
SBP1_003,no,high,"Only three simple signs visible; no matching adjacent packet"
SBP1_004,uncertain,med,"Inscription is too cropped and noisy to support a positive call"
SBP1_005,no,med,"Lozenge-like sign is present but not adjacent to a clean two-stroke sign"
SBP1_006,yes,high,"Clear lozenge adjacent to two short vertical strokes on the same visible line"
SBP1_007,no,high,"Large lozenge is not adjacent to a two-stroke sign on the same line"
SBP1_008,no,med,"Right lozenge is adjacent to a more complex vertical sign not a clean two-stroke packet"
SBP1_009,no,high,"Image shows a reference table rather than an inscription"
SBP1_010,uncertain,med,"Page contains multiple objects and no isolated target object strongly confirms the packet"
SBP1_011,yes,high,"Lower inscription shows lozenge adjacent to two short vertical strokes on the same line"
SBP1_012,no,high,"Only a partial cropped strip is visible; no matching adjacent packet"
SBP1_013,no,med,"Lozenge area is present but adjacent strokes are not a clean two-stroke packet"
SBP1_014,uncertain,med,"Fragmentary crop has a lozenge and nearby strokes but adjacency and count are not secure"
SBP1_015,no,high,"Clear seal image but lozenge is adjacent to three strokes not a two-stroke packet"
SBP1_016,uncertain,med,"High-contrast damage makes the possible packet area unsafe for a positive call"
SBP1_017,no,med,"Blurry fragment lacks a visible lozenge plus two-stroke adjacency"
SBP1_018,no,high,"Visible signs are bars and angular forms without the target adjacent packet"
SBP1_019,no,high,"Image is a text page not an inscription"
SBP1_020,yes,high,"Lozenge at right is visibly adjacent to two short vertical strokes on the same line"
